Player,Zavg,Overall,GP,O/DSnaps,STSnaps,SnapTot,SnapAvg,,,
J.T. Surratt,-0.474606,,0,0,0,0,0,,,
Jacoby Glenn,0.034908,,0,0,0,0,0,,,
JaCorey Shepherd,-1.295936,191,0,0,0,0,0,,,
Jacquiski Tartt,0.535324,46,0,0,0,0,0,,,
Jaelen Strong,0.622633,70,10,282,,282,28.2,,,
Jahwan Edwards,-0.405116,,0,0,0,0,0,,,
Jake Fisher,0.306438,53,14,125,,125,8.928571429,,,
Jake Ryan,0.081428,129,14,260,212,472,33.71428571,,,
Jalen Collins,0.514135,42,16,300,187,487,30.4375,,,
Jalston Fowler,0.073939,108,16,147,273,420,26.25,DB,,
Jameis Winston,-0.485331,1,16,1095,,1095,68.4375,,,
James Sample,0.244274,104,4,129,,129,32.25,,,
Jamil Douglas,-0.480047,114,16,518,62,580,36.25,,,
Jamison Crowder,-0.321493,105,16,734,77,811,50.6875,,,
Jamon Brown,0.845460,72,9,528,,528,58.66666667,,,
Jarvis Harrison,-0.416829,152,0,0,0,0,0,,,
Javorius Allen,0.076968,125,16,392,,392,24.5,,,
Jay Ajayi,0.519503,149,9,158,60,218,24.22222222,,,
Jean Sifrin,0.266302,,0,0,0,0,0,,,
Jeff Heuerman,0.774728,92,0,0,0,0,0,,,
Jeremiah Poutasi,-0.977227,66,11,397,,397,36.09090909,,,
Jeremy Langford,0.008904,106,16,390,87,477,29.8125,,,
Jermaine Whitehead,0.292106,,0,0,0,0,0,,,
Jerry Lovelocke,0.110470,,0,0,0,0,0,,,
Jesse James,0.189307,160,8,181,,181,22.625,,,
Joey Iosefa,0.066023,231,2,23,,23,11.5,,,
Joey Mbu,-1.490879,,2,55,,55,27.5,,,
John Crockett,0.272861,,2,16,,16,8,,,
John Miller,-0.658126,81,12,647,,647,53.91666667,,,
Jon Feliciano,-0.881082,128,6,187,,187,31.16666667,,,
Jordan Hicks,0.579833,84,8,453,87,540,67.5,,,
Jordan Phillips,-0.417427,52,15,429,77,506,33.73333333,,,
Jordan Richards,-0.003578,64,14,237,252,489,34.92857143,,,
Josh Harper,-0.453613,,0,0,0,0,0,,,
Josh Robinson,-0.222461,205,5,57,,57,11.4,,,
Josh Shaw,0.499739,120,15,116,250,366,24.4,,,
Josue Matias,-1.931359,,0,0,0,0,0,,,
Julian Wilson,0.449556,,0,0,0,0,0,,,
Justin Coleman,0.570357,,10,300,,300,30,,,
Justin Cox,0.364969,,0,0,0,0,0,,,
Justin Hardy,0.293136,107,9,335,63,398,44.22222222,,,
Kaelin Clay,-0.262101,184,7,10,54,64,9.142857143,,,
Karlos Williams,0.123026,155,11,240,,240,21.81818182,,,
Keith Mumphery,0.069588,175,16,318,214,532,33.25,,,
Kenny Bell,0.443902,162,0,0,0,0,0,,,
Kenny Hilliard,-0.480719,235,0,0,0,0,0,,,
Kevin Johnson,0.639665,16,16,821,115,936,58.5,,,
Kevin White,0.519410,7,0,0,0,0,0,,,
Kevin White,-0.400419,,0,0,0,0,0,,,
Kurtis Drummond,0.570581,,9,39,144,183,20.33333333,,,
Kwon Alexander,0.175169,124,12,816,62,878,73.16666667,,,
Kyle Emanuel,0.155291,153,15,300,192,492,32.8,,,
Kyshoen Jarrett,-0.017901,181,16,602,173,775,48.4375,,,
L.T. Walton,-0.736882,199,6,29,,29,4.833333333,,,
Ladarius Gunter,-0.304149,,8,8,,8,1,,,
La'el Collins,-0.447728,,12,714,,714,59.5,,,
Laken Tomlinson,-0.660584,28,16,986,63,1049,65.5625,,,
Landon Collins,0.084934,33,16,1094,65,1159,72.4375,,,
Laurence Gibson,0.101810,243,0,0,0,0,0,,,
Leon Orr,-1.105290,,3,76,,76,25.33333333,,,
Leonard Williams,-0.101307,6,16,811,78,889,55.5625,,,
Lorenzo Doss,-0.408362,164,6,3,,3,0.5,,,
Lorenzo Mauldin,-0.122481,82,15,253,101,354,23.6,,,
Louis Trinca-Pasat,-0.226050,,0,0,0,0,0,,,
Lyndon Trail,0.341722,,0,0,0,0,0,,,
Malcolm Brown,0.477955,,1,9,,9,9,,,
Malcom Brown,-0.540991,32,16,508,,508,31.75,,,
Marcus Hardison,1.020363,135,0,0,0,0,0,,,
Marcus Mariota,0.604290,2,12,734,,734,61.16666667,,,
Marcus Murphy,-0.773725,230,13,1,128,129,9.923076923,,,
Marcus Peters,0.101328,18,16,1036,,1036,64.75,,,
Mario Alford,0.269761,238,1,5,,5,5,,,
Mario Edwards Jr.,0.430849,35,14,595,,595,42.5,,,
Mark Glowinski,-0.200703,134,10,73,,73,7.3,,,
Mark Nzeocha,0.540054,236,0,0,0,0,0,,,
Markus Golden,0.062759,58,15,514,144,658,43.86666667,,,
Martin Ifedi,-0.193428,227,0,0,0,0,0,,,
Martrell Spaight,-0.025009,141,0,0,0,0,0,,,
Matt Jones,-0.363921,95,13,339,,339,26.07692308,,,
Max Garcia,0.790813,133,16,542,73,615,38.4375,,,
Max Valles,0.032869,179,0,0,0,0,0,,,
Maxx Williams,0.264166,55,14,476,70,546,39,,,
Melvin Gordon,0.505214,15,14,395,,395,28.21428571,,,
Michael Bennett,0.970130,180,13,296,66,362,27.84615385,,,
Michael Burton,-0.177223,168,16,241,186,427,26.6875,,,
Michael Dyer,0.122759,,0,0,0,0,0,,,
Mike Davis,-0.041193,126,6,124,,124,20.66666667,,,
Mike Hull,0.206037,,3,20,,20,6.666666667,,,
Mitch Morse,-0.192924,49,15,920,,920,61.33333333,,,
Mycole Pruitt,0.461674,143,16,204,139,343,21.4375,,,
Nate Orchard,0.172479,51,15,473,,473,31.53333333,,,
Neiron Ball,0.252154,161,6,64,89,153,25.5,,,
Nelson Agholor,-0.219571,20,13,671,,671,51.61538462,,,
Nick Boyle,0.214000,171,11,295,135,430,39.09090909,,,
Nick Marshall,0.510088,,13,141,185,326,25.07692308,,,
Nick O'Leary,-0.635495,194,4,40,,40,10,,,
Obum Gwacham,0.501329,209,9,97,145,242,26.88888889,,,
Owa Odighizuwa,0.932511,74,4,126,,126,31.5,,,
P.J. Williams,0.110298,78,0,0,0,0,0,,,
Paul Dawson,-0.522497,99,11,34,195,229,20.81818182,,,
Phillip Dorsett,0.284582,29,11,211,,211,19.18181818,,,
Preston Smith,0.628695,38,16,509,173,682,42.625,,,
Quandre Diggs,-0.046589,200,16,471,112,583,36.4375,,,
Quinten Rollins,-0.085759,62,14,322,202,524,37.42857143,,,
Rakeem Nunez-Roches,-0.142764,217,7,22,,22,3.142857143,,,
Ramik Wilson,0.261130,118,11,129,95,224,20.36363636,,,
Randall Telfer,0.244188,198,0,0,0,0,0,,,
Randy Gregory,0.758690,60,12,245,,245,20.41666667,,,
Rannell Hall,0.296234,,1,1,,1,1,,,
Rashad Greene,0.387579,139,9,168,,168,18.66666667,,,
Reese Dismukes,-1.035520,,0,0,0,0,0,,,
Rob Crisp,-0.312002,,0,0,0,0,0,,,
Rob Havenstein,-1.151416,57,13,725,,725,55.76923077,,,
Robert Myers,-1.302112,176,0,0,0,0,0,,,
Ronald Darby,0.336088,50,15,910,67,977,65.13333333,,,
Rory Anderson,-0.703927,254,0,0,0,0,0,,,
Ross Scheuerman,-0.184655,,0,0,0,0,0,,,
Ryan Delaire,0.277746,,9,225,,225,25,,,
Ryan Russell,0.295776,163,1,33,,33,33,,,
Sammie Coates,0.907252,87,6,34,,34,5.666666667,,,
Sean Hickey,1.343830,,0,0,0,0,0,,,
Sean Mannion,-0.440933,89,1,7,,7,7,,,
Senquez Golson,0.020189,56,0,0,0,0,0,,,
Shane Carden,-0.263903,,0,0,0,0,0,,,
Shane Ray,-0.118861,23,14,341,,341,24.35714286,,,
Shaq Thompson,0.396328,25,14,363,166,529,37.78571429,,,
Stefon Diggs,0.283798,146,13,654,,654,50.30769231,,,
Stephone Anthony,0.721667,31,16,990,101,1091,68.1875,,,
Steven Nelson,0.149124,98,12,53,125,178,14.83333333,,,
T.J. Clemmings,-0.013617,110,16,1016,76,1092,68.25,,,
T.J. Yeldon,0.105610,36,12,620,,620,51.66666667,,,
Taiwan Jones,0.099795,,0,0,0,0,0,,,
Takoby Cofield,-0.643885,,0,0,0,0,0,,,
Tavares Barnes,-0.401825,,12,130,,130,10.83333333,,,
Tayo Fabuluje,-0.673690,183,4,2,,2,0.5,,,
Tello Luckett,-0.301057,,0,0,0,0,0,,,
Terrence Magee,-0.324658,,4,11,,11,2.75,,,
Terry Poole,-0.416445,130,0,0,0,0,0,,,
Tevin Coleman,-0.530011,73,12,226,,226,18.83333333,,,
Tevin McDonald,-0.252284,,4,8,,8,2,,,
Thomas Rawls,-0.212228,,13,289,,289,22.23076923,,,
Titus Davis,-0.339055,,0,0,0,0,0,,,
Todd Gurley,0.037980,10,13,457,,457,35.15384615,,,
Tony Lippett,0.219557,156,9,,78,78,8.666666667,,,
Tony Washington,-0.172161,,0,0,0,0,0,,,
Trae Waynes,0.043434,11,0,0,0,0,0,,,
Tre Jackson,-0.846358,111,13,607,,607,46.69230769,,,
Tre McBride,0.372985,245,7,55,107,162,23.14285714,,,
Trenton Brown,-0.678232,244,5,186,,186,37.2,,,
Trey Depriest,-0.731250,,0,0,0,0,0,,,
Trey Flowers,0.493181,101,1,4,,4,4,,,
Trey Williams,-0.123910,,2,2,,2,1,,,
Troy Hill,-0.087664,,3,23,,23,7.666666667,,,
Ty Montgomery,0.605827,94,6,242,,242,40.33333333,,,
Ty Sambrailo,-0.613347,59,3,214,,214,71.33333333,,,
Tye Smith,0.253876,170,0,0,0,0,0,,,
Tyeler Davidson,0.221393,154,0,0,0,0,0,,,
Tyler Kroft,-0.039298,85,16,347,297,644,40.25,,,
Tyler Lockett,0.115413,69,16,663,152,815,50.9375,,,
Tyler Varga,0.185836,,3,36,,36,12,,,
Tyrus Thompson,-0.171326,185,0,0,0,0,0,,,
Vic Beasley,0.998556,8,16,538,,538,33.625,,,
Vince Mayle,0.202827,123,0,0,0,0,0,,,
Wes Saxton,0.122383,,1,12,,12,12,,,
Xavier Cooper,-0.175652,96,14,360,,360,25.71428571,,,
Xzavier Dickson,-0.328496,253,0,0,0,0,0,,,
Yannik Cudjoe-Virgil,0.373828,,2,12,,12,6,,,
Zach Hodges,0.344326,,0,0,0,0,0,,,
Zach Zenner,0.602468,,6,46,,46,7.666666667,,,
Zack Wagenmann,0.078708,,0,0,0,0,0,,,
Za'Darius Smith,-0.223029,122,15,405,98,503,33.53333333,,,
